
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
96            0x60            uImage header, header size: 64 bytes, header CRC: 0x2DCC505, created: Thu Sep 25 16:20:51 2014, image size: 1452079 bytes, Data Address: 0x80000000, Entry Point: 0x80000000, data CRC: 0xDC5066D7, OS: Linux, CPU: MIPS, image type: OS Kernel Image, compression type: lzma, image name: "MIPS OpenWrt Linux-2.6.36"
160           0xA0            LZMA compressed data, properties: 0x6D, dictionary size: 8388608 bytes, uncompressed size: 4273904 bytes
3321          0xCF9           Zlib compressed data, best compression
4969          0x1369          Zlib compressed data, compressed
9252          0x2424          Zlib compressed data, compressed
20825         0x5159          Zlib compressed data, best compression
64524         0xFC0C          Zlib compressed data, compressed
143308        0x22FCC         Zlib compressed data, best compression
155435        0x25F2B         Zlib compressed data, best compression
227615        0x3791F         Zlib compressed data, compressed
254657        0x3E2C1         Zlib compressed data, compressed
271032        0x422B8         Zlib compressed data, best compression
316203        0x4D32B         Zlib compressed data, best compression
317729        0x4D921         Zlib compressed data, compressed
329499        0x5071B         Zlib compressed data, default compression
374483        0x5B6D3         Zlib compressed data, best compression
383450        0x5D9DA         Zlib compressed data, default compression
425627        0x67E9B         Zlib compressed data, default compression
428857        0x68B39         Zlib compressed data, compressed
442419        0x6C033         Zlib compressed data, default compression
449262        0x6DAEE         Zlib compressed data, default compression
453839        0x6ECCF         Zlib compressed data, best compression
456536        0x6F758         Zlib compressed data, default compression
470062        0x72C2E         Zlib compressed data, compressed
480386        0x75482         Zlib compressed data, best compression
482424        0x75C78         Zlib compressed data, best compression
507894        0x7BFF6         Zlib compressed data, best compression
515806        0x7DEDE         Zlib compressed data, default compression
535197        0x82A9D         Zlib compressed data, compressed
546555        0x856FB         Zlib compressed data, compressed
565621        0x8A175         Zlib compressed data, compressed
584877        0x8ECAD         Zlib compressed data, compressed
598840        0x92338         Zlib compressed data, best compression
654790        0x9FDC6         Zlib compressed data, compressed
715276        0xAEA0C         Zlib compressed data, best compression
717542        0xAF2E6         Zlib compressed data, best compression
744122        0xB5ABA         Zlib compressed data, default compression
763411        0xBA613         Zlib compressed data, compressed
786504        0xC0048         Zlib compressed data, best compression
791249        0xC12D1         Zlib compressed data, best compression
816054        0xC73B6         Zlib compressed data, compressed
837250        0xCC682         Zlib compressed data, compressed
862273        0xD2841         Zlib compressed data, best compression
870572        0xD48AC         Zlib compressed data, best compression
945660        0xE6DFC         Zlib compressed data, compressed
949690        0xE7DBA         Zlib compressed data, default compression
953248        0xE8BA0         Zlib compressed data, best compression
959335        0xEA367         Zlib compressed data, compressed
986256        0xF0C90         Zlib compressed data, default compression
1039144       0xFDB28         Zlib compressed data, compressed
1070933       0x105755        Zlib compressed data, default compression
1090088       0x10A228        Zlib compressed data, default compression
1093234       0x10AE72        Zlib compressed data, default compression
1098541       0x10C32D        Zlib compressed data, compressed
1104308       0x10D9B4        Zlib compressed data, compressed
1134390       0x114F36        Zlib compressed data, best compression
1138678       0x115FF6        Zlib compressed data, best compression
1149096       0x1188A8        Zlib compressed data, default compression
1159119       0x11AFCF        Zlib compressed data, best compression
